dict_prices,dict_address,dict_sqft,dict_acres,dict_url,dict_broker
"$59,990","Willie B Dr,Brownwood, TX 76801",0,0.31,https://www.realtor.com/realestateandhomes-detail/Willie-B-Dr_Brownwood_TX_76801_M95289-32225?from=srp-list-card,Brokered by EG Realty
"$55,000","2911 Austin Ave,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/2911-Austin-Ave_Brownwood_TX_76801_M81798-76338?from=srp-list-card,Brokered by Houston Interests Real Estate
"$35,000","Long View Dr,Brownwood, TX 76801",0,0.29,https://www.realtor.com/realestateandhomes-detail/Long-View-Dr_Brownwood_TX_76801_M98991-60858?from=srp-list-card,Brokered by KW Synergy
"$159,000","7172 Monaghan Dr,Brownwood, TX 76801","2,280",0.3,https://www.realtor.com/realestateandhomes-detail/7172-Monaghan-Dr_Brownwood_TX_76801_M76397-81033?from=srp-list-card,Brokered by Texas Realty
"$158,000","160 County Road 473,Brownwood, TX 76801","1,288",1.56,https://www.realtor.com/realestateandhomes-detail/160-County-Road-473_Brownwood_TX_76801_M76005-39995?from=srp-list-card,Brokered by KW Synergy
"$159,900","2407 13th St,Brownwood, TX 76801","1,350","7,710",https://www.realtor.com/realestateandhomes-detail/2407-13th-St_Brownwood_TX_76801_M81687-71087?from=srp-list-card,Brokered by KW Synergy
"$239,900","9201 County Road 456,Brownwood, TX 76801","1,935",0.87,https://www.realtor.com/realestateandhomes-detail/9201-County-Road-456_Brownwood_TX_76801_M86205-01902?from=srp-list-card,Brokered by KW Synergy
"$622,000","10 Crestview Ct,Brownwood, TX 76801","3,776",0.61,https://www.realtor.com/realestateandhomes-detail/10-Crestview-Ct_Brownwood_TX_76801_M80819-76384?from=srp-list-card,Brokered by Texas Goldstar Real Estate
"$225,000","7044 Tipperary Rd,Brownwood, TX 76801","1,724",0.98,https://www.realtor.com/realestateandhomes-detail/7044-Tipperary-Rd_Brownwood_TX_76801_M76943-01107?from=srp-list-card,Brokered by KW Synergy
"$229,900","1604 Southgate Dr,Brownwood, TX 76801","1,623","8,886",https://www.realtor.com/realestateandhomes-detail/1604-Southgate-Dr_Brownwood_TX_76801_M84126-76681?from=srp-list-card,Brokered by KW Synergy
"$210,000","1407 12th St,Brownwood, TX 76801","1,349","8,276",https://www.realtor.com/realestateandhomes-detail/1407-12th-St_Brownwood_TX_76801_M91590-24880?from=srp-list-card,Brokered by Keller Williams Realty
"$299,900","1712 Vincent St,Brownwood, TX 76801","2,222",0.26,https://www.realtor.com/realestateandhomes-detail/1712-Vincent-St_Brownwood_TX_76801_M79543-42854?from=srp-list-card,Brokered by Ann Jones Real Estate
"$164,900","1012 Avenue D,Brownwood, TX 76801","1,316",0.64,https://www.realtor.com/realestateandhomes-detail/1012-Avenue-D_Brownwood_TX_76801_M79697-70954?from=srp-list-card,"Brokered by Ranch & Hunting Land Realty, LLC"
"$125,000","1604 Dublin St,Brownwood, TX 76801","1,248","9,496",https://www.realtor.com/realestateandhomes-detail/1604-Dublin-St_Brownwood_TX_76801_M82245-58203?from=srp-list-card,Brokered by Ann Jones Real Estate
"$285,000","8543 Riverbend Rd,Brownwood, TX 76801","1,232",6.96,https://www.realtor.com/realestateandhomes-detail/8543-Riverbend-Rd_Brownwood_TX_76801_M74560-59936?from=srp-list-card,"Brokered by Coldwell Banker, Mark Campbell & As"
"$389,000","3 Brentwood Cir,Brownwood, TX 76801","1,964",0.32,https://www.realtor.com/realestateandhomes-detail/3-Brentwood-Cir_Brownwood_TX_76801_M82477-74885?from=srp-list-card,Brokered by Setzler Associates Realty
"$429,900","4401 Austin Ave,Brownwood, TX 76801","2,664",2.56,https://www.realtor.com/realestateandhomes-detail/4401-Austin-Ave_Brownwood_TX_76801_M75713-98028?from=srp-list-card,Brokered by Texas Goldstar Real Estate
"$139,900","2611 Durham Ave,Brownwood, TX 76801","1,523",1.03,https://www.realtor.com/realestateandhomes-detail/2611-Durham-Ave_Brownwood_TX_76801_M81416-41481?from=srp-list-card,Brokered by Mccluskey  & Associates
"$89,900","1011 7th St,Brownwood, TX 76801","1,072","5,401",https://www.realtor.com/realestateandhomes-detail/1011-7th-St_Brownwood_TX_76801_M78665-81559?from=srp-list-card,Brokered by Texas Goldstar Real Estate
"$147,900","1603 16th St,Brownwood, TX 76801","1,055",0.27,https://www.realtor.com/realestateandhomes-detail/1603-16th-St_Brownwood_TX_76801_M82744-57300?from=srp-list-card,"Brokered by Donnie Stegemoller, REALTORS®"
"$129,000","1317 Avenue C,Brownwood, TX 76801","1,162","4,748",https://www.realtor.com/realestateandhomes-detail/1317-Avenue-C_Brownwood_TX_76801_M72664-07380?from=srp-list-card,Brokered by Texas Realty
